"name","description","longitude","latitude","address"
"Gingling Sink(wet)",,"-2.22252","54.12752","Gingling Hole, Silverdale Road, England, BD24 9PW, United Kingdom"
"Washfold Pot",,"-2.34708","54.18424","Washfold Pot, Ingman Lodge Road, Horton in Ribblesdale, England, BD24 0JA, United Kingdom"
"Hammer Pot",,"-2.22817","54.12301","Hammer Pot, Henside Road, Langcliffe, England, BD24 9PP, United Kingdom"
"Fell Close South (1)",,"-2.35092","54.16833","Fell Close, Horton in Ribblesdale, England, BD24 0HX, United Kingdom"
"Magnetometer Pot",,"-2.23174","54.12296","Magnetometer Pot, Silverdale Road, Stainforth, England, BD24 9PN, United Kingdom"
"Strangle Pot",,"-2.2154","54.1177","Curtain Pot, Henside Road, Langcliffe, England, BD24 9PP, United Kingdom"
"Foul Pot",,"-2.23102","54.12651","FOUL Pot, Silverdale Road, Stainforth, England, BD24 9PN, United Kingdom"
"Ringle Mill Cave",,"-2.31736","54.15944","Settle-Carlisle Railway, Hillcrest, Horton in Ribblesdale, England, BD24 0HL, United Kingdom"
"High Hull Pot",,"-2.26742","54.16652","Foxup Road, Horton in Ribblesdale, England, BD24 0EU, United Kingdom"
"Hull Pot",,"-2.27103","54.1667","Hull Pot, Foxup Road, Horton in Ribblesdale, England, BD24 0EU, United Kingdom"
"Barghs Cave",,"-2.38272","54.1863","Southerscales Pot, Low Sleights Road, Ingleton, England, LA6 3AU, United Kingdom"
"Hardrawkin Pot",,"-2.39223","54.18602","Hardrawkin Pot, Low Sleights Road, Ingleton, England, LA6 3FH, United Kingdom"
"Little Hull Pot",,"-2.27457","54.16518","Little Hull Pot, Horton Scar Lane, Settle, England, BD24 0EU, United Kingdom"
"Lower Sunset",,"-2.39516","54.18022","Braithwaite Wife Hole, Low Sleights Road, Chapel le Dale, England, LA6 3AR, United Kingdom"
"Penyghent Pot",,"-2.26361","54.15528","Penyghent Pot, Foxup Road, Horton in Ribblesdale, England, BD24 0EU, United Kingdom"
"Sell Gill(wet)",,"-2.28927","54.16475","Sell Gill Holes, Horton Scar Lane, Horton in Ribblesdale, England, BD24 0EU, United Kingdom"
"Sell Gill(dry)",,"-2.28985","54.16455","Sell Gill Holes, Horton Scar Lane, Horton in Ribblesdale, England, BD24 0EU, United Kingdom"
